13 : 茉伶 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 洋朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚凪 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚圭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚匡 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 勇朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 勇朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 弥里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 弥希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 弥花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茂里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茂里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茂希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茂希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茂花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茂花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 法里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 法里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 法希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 法希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 法花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 法花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 武里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 武希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 武花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 飛朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 発朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 典里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 典里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 典希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 典希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 典花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 典花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 定里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 定希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 定花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 貞朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 直里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 直里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 直希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 直希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 直花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 直花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 知里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 知希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 知花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 拓里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 拓希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 拓花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 卓里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 卓希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 卓花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 則朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 星朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 信朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昇里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昇里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昇希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昇希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昇花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昇花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春凪 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春圭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春匡 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 俊朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実伶 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実兵 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実兵 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実初 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実秀 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実秀 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実志 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実冴 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実克 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実宏 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実完 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実完 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実快 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実我 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実我 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲凪 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲圭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲匡 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香凪 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香圭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香匡 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 荒朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 洪朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 恒朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 虎里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 虎希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 虎花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 建朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 尭里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 尭里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 尭希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 尭希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 尭花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 尭花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀百 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀凪 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀壮 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀圭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀匡 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 活朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 活朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 岳里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 岳希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 岳花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 学里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 学希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 学花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 海朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果伶 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果兵 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果兵 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果初 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果秀 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果秀 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果志 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果冴 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果克 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果宏 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果完 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果完 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果快 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果我 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果我 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 延里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 延里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 延希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 延希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 延花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 延花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 英里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 英里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 英里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 英希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 英希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 英希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 英花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 英花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 英花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 栄朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 胤朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 威朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
12 : 翔夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 翔太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 洸里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 洸希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 洸花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 玲里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 玲希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 玲花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 亮里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 亮希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 亮花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 律里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 律希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 律花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 嵐夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 嵐太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽方 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽文 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽天 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽火 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 要里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 要里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 要里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 要希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 要希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 要希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 要花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 要花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 要花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 洋里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 洋希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 洋花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 揚夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 揚太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 雄夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 雄太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 裕夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 裕太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚伶 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚兵 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚兵 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚伸 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚伸 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚初 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚秀 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚秀 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚志 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚冴 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚克 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚宏 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚完 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚完 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚快 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚我 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚我 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勇里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勇里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勇希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勇希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勇花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勇花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 満夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 満太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 富夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 富太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 飛里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 飛希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 飛花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 発里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 発希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 発花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 博夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 博太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 統夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 統太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 登夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 登太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 貞里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 貞希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 貞花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 尊夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 尊太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 則里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 則希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 則花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 創夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 創太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 星里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 星希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 星花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 信里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 信希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 信花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勝夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勝夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勝太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 勝太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 春伶 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 春兵 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 春兵 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 春伸 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 春伸 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 春初 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 春秀 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
