13 : 茉良 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和佐 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和孝 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和亨 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 玲朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 洋朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚灯 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚西 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚好 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚吉 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚羽 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚安 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柚旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柳朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 耶朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 夜里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 夜希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 夜花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 明里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 明希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 明花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 岬里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 岬希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 岬花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 朋里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 朋希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 朋花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 保朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 風朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 苗里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 苗希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 苗花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 美朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 眉朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 波里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 波希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 波花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 南朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 長里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 長希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 長花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 忠里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 忠希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 忠花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 宙里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 宙希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 宙花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 星朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 星朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 松里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 松希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 松花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昭朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 昌花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 尚里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 尚希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 尚花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春灯 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春西 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春好 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春吉 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春羽 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春安 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 春旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 祝朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 柔朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 秋朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 若里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 若希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 若花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実良 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実李 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実佑 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実那 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実妥 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実寿 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実志 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実沙 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実佐 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実孝 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実亨 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 実花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲灯 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲西 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲好 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲吉 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲羽 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲安 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 咲旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 哉朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香灯 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香西 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香好 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香吉 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香羽 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香安 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 香旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 幸里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 幸里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 幸希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 幸希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 幸花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 幸花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 厚朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 欣里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 欣希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 欣花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 協里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 協希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 協花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 京里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 京希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 京花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 宜里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 宜希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 宜花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀灯 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀西 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀成 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀好 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀光 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀吉 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀羽 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀宇 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀安 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 紀旭 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 岳里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 岳希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 岳花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 海朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 海朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 芽里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 芽希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 芽花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 河里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 河希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 河花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果良 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果李 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果佑 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果那 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果妥 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果寿 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果志 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果沙 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果佐 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果孝 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果亨 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 果花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 佳里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 佳里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 佳希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 佳希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 佳花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 佳花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 旺花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 延里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 延希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 延花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 郁朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 郁朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 依里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 依里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 依希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 依希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 依花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 依花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
12 : 玲里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 玲希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 玲花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽予 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽木 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽天 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽丹 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽水 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽仁 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽心 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽火 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽火 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 陽円 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 葉夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 葉太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 洋里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 洋希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 洋花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 遊夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 遊太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 裕夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 裕太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 湧夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 湧太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚良 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚李 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚佑 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚那 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚妥 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚伸 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚寿 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚志 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚沙 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚佐 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚孝 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚亨 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柚花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 愉夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 愉太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柳里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柳希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 柳花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 耶里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 耶希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 耶花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 満夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 満夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 満太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 満太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 保里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 保希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 保花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 風里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 風希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 風花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 美里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 美希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 美花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 眉里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 眉希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 眉花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 斐夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 斐太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 南里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 南希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 南花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 敦夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 敦太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 等夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 等太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 朝夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 朝夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 朝太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 朝太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 尊夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 尊太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 善夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 善太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 晴夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 晴太 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 星里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 星里 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 星希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 星希 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 星花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 星花 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
12 : 晶夫 : ['凶', '吉', '大吉', '大吉', '吉', '大吉']
